id,collected_at,rate_date,series_key,series_label,rate,source
483,2026-06-13T20:17:19.979074,2026-05-06,gov_bond_2y,Statsobligation 2 år,2.214,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
986,2026-06-13T20:30:40.581383,2026-05-06,gov_bond_5y,Statsobligation 5 år,2.431,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
233,2026-06-13T20:30:40.285264,2026-05-06,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
482,2026-06-13T20:17:19.977730,2026-05-05,gov_bond_2y,Statsobligation 2 år,2.439,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
985,2026-06-13T20:30:40.580237,2026-05-05,gov_bond_5y,Statsobligation 5 år,2.594,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
232,2026-06-13T20:30:40.284140,2026-05-05,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
481,2026-06-13T20:17:19.976374,2026-05-04,gov_bond_2y,Statsobligation 2 år,2.414,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
984,2026-06-13T20:30:40.579092,2026-05-04,gov_bond_5y,Statsobligation 5 år,2.551,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
231,2026-06-13T20:30:40.282944,2026-05-04,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
480,2026-06-13T20:17:19.975150,2026-04-30,gov_bond_2y,Statsobligation 2 år,2.409,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
983,2026-06-13T20:30:40.577954,2026-04-30,gov_bond_5y,Statsobligation 5 år,2.565,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
230,2026-06-13T20:30:40.281806,2026-04-30,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
479,2026-06-13T20:17:19.973765,2026-04-29,gov_bond_2y,Statsobligation 2 år,2.437,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
982,2026-06-13T20:30:40.576801,2026-04-29,gov_bond_5y,Statsobligation 5 år,2.597,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
229,2026-06-13T20:30:40.280686,2026-04-29,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
478,2026-06-13T20:17:19.972582,2026-04-28,gov_bond_2y,Statsobligation 2 år,2.388,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
981,2026-06-13T20:30:40.575675,2026-04-28,gov_bond_5y,Statsobligation 5 år,2.548,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
228,2026-06-13T20:30:40.279568,2026-04-28,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
477,2026-06-13T20:17:19.971441,2026-04-27,gov_bond_2y,Statsobligation 2 år,2.315,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
980,2026-06-13T20:30:40.574541,2026-04-27,gov_bond_5y,Statsobligation 5 år,2.501,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
227,2026-06-13T20:30:40.278475,2026-04-27,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
476,2026-06-13T20:17:19.970200,2026-04-24,gov_bond_2y,Statsobligation 2 år,2.309,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
979,2026-06-13T20:30:40.573382,2026-04-24,gov_bond_5y,Statsobligation 5 år,2.499,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
226,2026-06-13T20:30:40.277349,2026-04-24,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
475,2026-06-13T20:17:19.969023,2026-04-23,gov_bond_2y,Statsobligation 2 år,2.299,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
978,2026-06-13T20:30:40.572227,2026-04-23,gov_bond_5y,Statsobligation 5 år,2.49,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
225,2026-06-13T20:30:40.276172,2026-04-23,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
474,2026-06-13T20:17:19.967792,2026-04-22,gov_bond_2y,Statsobligation 2 år,2.244,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
977,2026-06-13T20:30:40.571079,2026-04-22,gov_bond_5y,Statsobligation 5 år,2.454,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
224,2026-06-13T20:30:40.275017,2026-04-22,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
473,2026-06-13T20:17:19.966629,2026-04-21,gov_bond_2y,Statsobligation 2 år,2.246,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
976,2026-06-13T20:30:40.569871,2026-04-21,gov_bond_5y,Statsobligation 5 år,2.462,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
223,2026-06-13T20:30:40.273897,2026-04-21,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
472,2026-06-13T20:17:19.965419,2026-04-20,gov_bond_2y,Statsobligation 2 år,2.206,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
975,2026-06-13T20:30:40.568726,2026-04-20,gov_bond_5y,Statsobligation 5 år,2.434,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
