id,collected_at,rate_date,bank,period_key,period_label,rate,source_url
127,2026-06-15T12:31:51.243471,2026-06-15,Stabelo,5_ar,5 år,3.49,https://www.compricer.se/bolan/
134,2026-06-15T12:31:54.503927,2026-06-15,Swedbank,1_ar,1 år,3.49,https://www.finansportalen.se/bolan/
135,2026-06-15T12:31:54.505271,2026-06-15,Swedbank,2_ar,2 år,3.64,https://www.finansportalen.se/bolan/
136,2026-06-15T12:31:51.257777,2026-06-15,Swedbank,3_ar,3 år,3.09,https://www.compricer.se/bolan/
133,2026-06-15T12:31:54.502536,2026-06-15,Swedbank,3_man,3 månader,3.89,https://www.finansportalen.se/bolan/
137,2026-06-15T12:31:51.259984,2026-06-15,Swedbank,5_ar,5 år,3.48,https://www.compricer.se/bolan/
18,2026-06-14T09:48:23.493176,2026-06-14,Danske Bank,1_ar,1 år,3.39,https://www.finansportalen.se/bolan/
19,2026-06-14T09:48:23.494319,2026-06-14,Danske Bank,2_ar,2 år,3.56,https://www.finansportalen.se/bolan/
20,2026-06-14T09:48:20.573571,2026-06-14,Danske Bank,3_ar,3 år,3.18,https://www.compricer.se/bolan/
17,2026-06-14T09:48:23.492016,2026-06-14,Danske Bank,3_man,3 månader,3.84,https://www.finansportalen.se/bolan/
21,2026-06-14T09:48:20.574779,2026-06-14,Danske Bank,5_ar,5 år,3.03,https://www.compricer.se/bolan/
57,2026-06-14T09:48:23.500765,2026-06-14,Handelsbanken,1_ar,1 år,3.64,https://www.finansportalen.se/bolan/
58,2026-06-14T09:48:23.501959,2026-06-14,Handelsbanken,2_ar,2 år,3.74,https://www.finansportalen.se/bolan/
56,2026-06-14T09:48:23.499525,2026-06-14,Handelsbanken,3_man,3 månader,3.94,https://www.finansportalen.se/bolan/
34,2026-06-14T09:48:20.590464,2026-06-14,Handelsbanken,5_ar,5 år,3.6,https://www.compricer.se/bolan/
26,2026-06-14T09:48:23.482557,2026-06-14,Hypoteket,1_ar,1 år,3.69,https://www.finansportalen.se/bolan/
27,2026-06-14T09:48:23.483743,2026-06-14,Hypoteket,2_ar,2 år,3.85,https://www.finansportalen.se/bolan/
25,2026-06-14T09:48:23.481405,2026-06-14,Hypoteket,3_man,3 månader,3.31,https://www.finansportalen.se/bolan/
28,2026-06-14T09:48:20.583427,2026-06-14,Hypoteket,5_ar,5 år,3.93,https://www.compricer.se/bolan/
23,2026-06-14T09:48:23.486116,2026-06-14,ICA Banken,1_ar,1 år,3.9,https://www.finansportalen.se/bolan/
24,2026-06-14T09:48:23.487265,2026-06-14,ICA Banken,2_ar,2 år,4.15,https://www.finansportalen.se/bolan/
22,2026-06-14T09:48:23.484878,2026-06-14,ICA Banken,3_man,3 månader,3.48,https://www.finansportalen.se/bolan/
